audio_format,audio_subtype,background_labels,birdnet_max_confidence,birdnet_top_species,bytes,category,category_name_zh,channels,clipping_sample_fraction,codec_stderr,contains_speech,contains_target_species,current_path,dataset_key,decode_status,duration_seconds,filename,frames,human_contains_speech,human_contains_target_species,human_final_class,human_review_notes,human_reviewed_at,human_reviewer,human_valid_intervals,indexed_at,item_id,label_basis,license,license_code,local_path,mixture_hint,name,peak_dbfs,primary_label_weak,privacy_risk,provisional_class,quality_flag,quality_read_error,read_error,recording_id,review_notes,review_priority,review_reasons,review_recommendation,review_status,reviewed_primary_label,rms_dbfs,samplerate,sha256,silent_block_fraction,source,source_id,source_url,suffix,valid_intervals
MP3,MPEG_LAYER_III,,0.956382,珠颈斑鸠,4483360,existing_species_recording,既有物种录音,2,0.0,,unchecked,birdnet_supports_filename_needs_listening,D:\C\Desktop\ai\xykw\data\XC999942 - 珠颈斑鸠 - Spilopelia chinensis.mp3,existing,ok,186.418813,XC999942 - 珠颈斑鸠 - Spilopelia chinensis.mp3,8948103,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_acc261154a02_86a1defc,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC999942 - 珠颈斑鸠 - Spilopelia chinensis.mp3,False,XC999942 - 珠颈斑鸠 - Spilopelia chinensis.mp3,-25.027,珠颈斑鸠,unknown_needs_listening,positive_species_candidate,very_quiet_review,,,XC999942 - 珠颈斑鸠 - Spilopelia chinensis,,1,core_species_positive_candidate,listen_before_accept_or_reject,machine_labeled_needs_listening,,-51.054,48000,acc261154a023463ec5b9adabc725d51548eb4b4c2cac8a8efee00fc2e9a4418,0.820375,xeno_canto,XC999942,,.mp3,
WAV,PCM_24,,0.0,,87880786,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,existing,ok,305.127396,251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,14646115,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_1bacc7a801fe_38a95c18,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,True,251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,-8.973,白喉短翅鸫,unknown_needs_listening,mixed_species_review,very_quiet_review,,,251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-45.991,48000,1bacc7a801fedb5105f77a5cc328205f02d78b3f9f65306f973f7ab670cf7a55,0.783748,local_or_shared,,,.wav,
MP3,MPEG_LAYER_III,,0.965494,白头鹎,5080915,existing_species_recording,既有物种录音,2,0.0,,unchecked,birdnet_supports_filename_needs_listening,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,existing,ok,211.426479,XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,10148471,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_357be415e7d5_e5a1701c,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,False,XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,-17.509,白头鹎,unknown_needs_listening,positive_species_candidate,sparse_or_silent_review,,,XC1106815 - 白头鹎 - Pycnonotus sinensis,,1,core_species_positive_candidate,listen_before_accept_or_reject,machine_labeled_needs_listening,,-43.211,48000,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,0.803783,xeno_canto,XC1106815,,.mp3,
WAV,PCM_24,,0.0,白头鹎,11376988,existing_species_recording,既有物种录音,2,2.031e-05,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,existing,ok,39.489208,260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,1895482,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_7e90e3adf371_25af8d4e,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,True,260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,0.0,赤胸拟啄木鸟,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-28.459,48000,7e90e3adf37171a86665c594182a7c65676f1e37c7cfe4213f7d31bb95e6d94a,0.017722,local_or_shared,,,.wav,
WAV,PCM_24,,0.0,,15024166,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,existing,ok,52.153021,260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,2503345,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_7a95052ec83d_66395627,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,True,260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,-0.785,长嘴捕蛛鸟,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-26.186,48000,7a95052ec83d649294b7b243ef68bf0eec15a096d0d274650cc3fa19d5ba6bc7,0.0,local_or_shared,,,.wav,
WAV,PCM_24,,0.0,,21087412,existing_species_recording,既有物种录音,2,1.4e-07,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,existing,ok,73.205958,260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,3513886,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_6d0f7a1a46f5_38b58e2d,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,True,260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,0.0,黄腹鹟莺,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-27.363,48000,6d0f7a1a46f54d63279e99cb4c3537cf1ffa9e69df166033863db26f0a413fbb,0.005457,local_or_shared,,,.wav,
WAV,PCM_24,,0.0,,17866164,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260606_0923——灰卷尾——婉转叫声.wav,existing,ok,62.005896,260606_0923——灰卷尾——婉转叫声.wav,2976283,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_a1aaa79d0c20_a4242d15,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\260606_0923——灰卷尾——婉转叫声.wav,False,260606_0923——灰卷尾——婉转叫声.wav,-2.958,灰卷尾,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,260606_0923——灰卷尾——婉转叫声,,2,license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-23.6,48000,a1aaa79d0c20947082584a5e0dc68faf92c8e5ec0f59ab7b7d73c1eef9ab3e4b,0.0,local_or_shared,,,.wav,
WAV,PCM_24,,0.0,,7983688,existing_species_recording,既有物种录音,2,5.26e-06,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\20260514 12点57分——灰胸山鹪莺——两声，3H_01.wav,existing,ok,27.698833,20260514 12点57分——灰胸山鹪莺——两声，3H_01.wav,1329544,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_fad9f48e014e_2713ce5b,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\20260514 12点57分——灰胸山鹪莺——两声，3H_01.wav,False,20260514 12点57分——灰胸山鹪莺——两声，3H_01.wav,0.0,灰胸山鹪莺,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,20260514 12点57分——灰胸山鹪莺——两声，3H_01,,2,license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-23.707,48000,fad9f48e014e557bab6f7e744166104027833eae087d9f5d2e47576ffc6ea98a,0.0,local_or_shared,,,.wav,
WAV,PCM_24,,0.0,,10605222,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B.wav,existing,ok,36.794292,260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B.wav,1766126,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_6dee8880cd69_41f8d616,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B.wav,False,260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B.wav,-2.686,白喉红臀鹎,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B,,2,license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-28.21,48000,6dee8880cd69cdb875c609cab019e680910455c45239b95f84c58d54cc236e32,0.0,local_or_shared,,,.wav,
WAV,PCM_24,,0.0,,16549056,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260607_1024——白腰鹊鸲——近距离，B.wav,existing,ok,57.432604,260607_1024——白腰鹊鸲——近距离，B.wav,2756765,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_79f5c82d47f8_287b4024,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\260607_1024——白腰鹊鸲——近距离，B.wav,False,260607_1024——白腰鹊鸲——近距离，B.wav,-0.884,白腰鹊鸲,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,260607_1024——白腰鹊鸲——近距离，B,,2,license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-25.975,48000,79f5c82d47f849e180fcd504ca2f89360ba68dbb2e97553b8a3367b5663fd2b3,0.0,local_or_shared,,,.wav,
WAV,PCM_24,,0.0,,2355368,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\XC841128 - 白鹭 - Egretta garzetta garzetta.wav,existing,ok,8.137917,XC841128 - 白鹭 - Egretta garzetta garzetta.wav,390620,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_4ec2f007aa9e_bb85e66f,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC841128 - 白鹭 - Egretta garzetta garzetta.wav,False,XC841128 - 白鹭 - Egretta garzetta garzetta.wav,-2.991,白鹭,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,XC841128 - 白鹭 - Egretta garzetta garzetta,,2,species_label_confirmation,listen_before_accept_or_reject,machine_labeled_needs_listening,,-27.367,48000,4ec2f007aa9ea474fabac5af90cd238c2a59d35edeb5a7590eb917070e414b53,0.719512,xeno_canto,XC841128,,.wav,
WAV,PCM_24,,0.0,,8722060,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\XC842808 - 白鹭 - Egretta garzetta garzetta.wav,existing,ok,30.244438,XC842808 - 白鹭 - Egretta garzetta garzetta.wav,1451733,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_db2a15336142_de0e8e95,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC842808 - 白鹭 - Egretta garzetta garzetta.wav,False,XC842808 - 白鹭 - Egretta garzetta garzetta.wav,-2.988,白鹭,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,XC842808 - 白鹭 - Egretta garzetta garzetta,,2,species_label_confirmation,listen_before_accept_or_reject,machine_labeled_needs_listening,,-35.795,48000,db2a1533614297e36e783cdaf551b8800e569de6d6119b2cbc724f5fd61c073e,0.128713,xeno_canto,XC842808,,.wav,
WAV,PCM_24,,0.0,,13663910,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\2026031918点21分——纯色啄花鸟——两声看见，野菜园.wav,existing,ok,47.424896,2026031918点21分——纯色啄花鸟——两声看见，野菜园.wav,2276395,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_c0562c1d2a4b_b19b4b01,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\2026031918点21分——纯色啄花鸟——两声看见，野菜园.wav,False,2026031918点21分——纯色啄花鸟——两声看见，野菜园.wav,-3.359,纯色啄花鸟,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,2026031918点21分——纯色啄花鸟——两声看见，野菜园,,2,license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-28.447,48000,c0562c1d2a4b4a737d2bf380e43f5f678cc07abf72c7e0a1ad1528f5c6c92934,0.0,local_or_shared,,,.wav,
WAV,PCM_24,,0.0,,8163288,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260622_1846——褐喉食蜜鸟——清晰A.wav,existing,ok,28.315354,260622_1846——褐喉食蜜鸟——清晰A.wav,1359137,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_670934cb06fe_b090ca93,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\260622_1846——褐喉食蜜鸟——清晰A.wav,False,260622_1846——褐喉食蜜鸟——清晰A.wav,-2.464,褐喉食蜜鸟,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,260622_1846——褐喉食蜜鸟——清晰A,,2,license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-27.047,48000,670934cb06fe2406e9c1f91a6713e5b1ebd8e956831df1659312ede5bd747b17,0.0,local_or_shared,,,.wav,
WAV,PCM_24,,0.0,,8535618,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260704_1712——褐喉食蜜鸟——苗圃，看见，A.wav,existing,ok,29.608167,260704_1712——褐喉食蜜鸟——苗圃，看见，A.wav,1421192,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_9e1c88de5045_908c6ccb,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\260704_1712——褐喉食蜜鸟——苗圃，看见，A.wav,False,260704_1712——褐喉食蜜鸟——苗圃，看见，A.wav,-2.005,褐喉食蜜鸟,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,260704_1712——褐喉食蜜鸟——苗圃，看见，A,,2,license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-22.374,48000,9e1c88de50456f054e530db5f5341e65a0d15c0359cedcaa22213abf5622ae66,0.0,local_or_shared,,,.wav,
MP3,MPEG_LAYER_III,,0.0,,1433056,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\XC734346 - 麻雀 - Passer montanus malaccensis.mp3,existing,ok,35.648821,XC734346 - 麻雀 - Passer montanus malaccensis.mp3,1572113,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_741d501feddd_244f79cc,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC734346 - 麻雀 - Passer montanus malaccensis.mp3,False,XC734346 - 麻雀 - Passer montanus malaccensis.mp3,-10.477,麻雀,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,XC734346 - 麻雀 - Passer montanus malaccensis,,2,species_label_confirmation,listen_before_accept_or_reject,machine_labeled_needs_listening,,-40.754,44100,741d501fedddea39940be7f1e2c23616959808357b76dde427dee069e8b866b5,0.358543,xeno_canto,XC734346,,.mp3,
