case_id,local_path,source,expected_sound_types,expected_species,label_status,label_source,location,include,reviewer,review_notes
existing_XC1106815 - 白头鹎 - Pycnonotus sinensis,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,xeno_canto,鸟类鸣叫,白头鹎,weak,filename_xeno_canto,杭州,yes,,核心六种候选
existing_XC1136969 - 乌鸫 - Turdus mandarinus,D:\C\Desktop\ai\xykw\data\XC1136969 - 乌鸫 - Turdus mandarinus.mp3,xeno_canto,鸟类鸣叫,乌鸫,weak,filename_xeno_canto,杭州,yes,,核心六种候选
existing_XC1136970 - 乌鸫 - Turdus mandarinus,D:\C\Desktop\ai\xykw\data\XC1136970 - 乌鸫 - Turdus mandarinus.mp3,xeno_canto,鸟类鸣叫,乌鸫,weak,filename_xeno_canto,杭州,yes,,核心六种候选
existing_XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1),D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,xeno_canto,鸟类鸣叫,小䴙䴘,weak,filename_xeno_canto,杭州,no,,超出当前 BirdNET 六种范围
existing_XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1),D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1).wav,xeno_canto,鸟类鸣叫,小䴙䴘,weak,filename_xeno_canto,杭州,no,,超出当前 BirdNET 六种范围
existing_XC1147853 - 乌鸫 - Turdus mandarinus,D:\C\Desktop\ai\xykw\data\XC1147853 - 乌鸫 - Turdus mandarinus.mp3,xeno_canto,鸟类鸣叫,乌鸫,weak,filename_xeno_canto,杭州,yes,,核心六种候选
existing_XC734346 - 麻雀 - Passer montanus malaccensis,D:\C\Desktop\ai\xykw\data\XC734346 - 麻雀 - Passer montanus malaccensis.mp3,xeno_canto,鸟类鸣叫,麻雀,weak,filename_xeno_canto,杭州,no,,超出当前 BirdNET 六种范围
existing_XC841128 - 白鹭 - Egretta garzetta garzetta,D:\C\Desktop\ai\xykw\data\XC841128 - 白鹭 - Egretta garzetta garzetta.wav,xeno_canto,鸟类鸣叫,白鹭,weak,filename_xeno_canto,杭州,no,,超出当前 BirdNET 六种范围
existing_XC842808 - 白鹭 - Egretta garzetta garzetta,D:\C\Desktop\ai\xykw\data\XC842808 - 白鹭 - Egretta garzetta garzetta.wav,xeno_canto,鸟类鸣叫,白鹭,weak,filename_xeno_canto,杭州,no,,超出当前 BirdNET 六种范围
existing_XC961570 - 珠颈斑鸠 - Spilopelia chinensis,D:\C\Desktop\ai\xykw\data\XC961570 - 珠颈斑鸠 - Spilopelia chinensis.wav,xeno_canto,鸟类鸣叫,珠颈斑鸠,weak,filename_xeno_canto,杭州,yes,,核心六种候选
existing_XC999942 - 珠颈斑鸠 - Spilopelia chinensis,D:\C\Desktop\ai\xykw\data\XC999942 - 珠颈斑鸠 - Spilopelia chinensis.mp3,xeno_canto,鸟类鸣叫,珠颈斑鸠,weak,filename_xeno_canto,杭州,yes,,核心六种候选
freesound_260726,data\raw\freesound\previews\distant_traffic\freesound_260726.mp3,freesound_preview,交通或机械噪声,,weak,freesound_category,杭州,yes,,
freesound_269375,data\raw\freesound\previews\distant_traffic\freesound_269375.mp3,freesound_preview,交通或机械噪声,,weak,freesound_category,杭州,yes,,
freesound_459464,data\raw\freesound\previews\distant_traffic\freesound_459464.mp3,freesound_preview,交通或机械噪声,,weak,freesound_category,杭州,yes,,
freesound_569176,data\raw\freesound\previews\distant_traffic\freesound_569176.mp3,freesound_preview,交通或机械噪声,,weak,freesound_category,杭州,yes,,
freesound_680627,data\raw\freesound\previews\distant_traffic\freesound_680627.mp3,freesound_preview,交通或机械噪声,,weak,freesound_category,杭州,yes,,
freesound_776260,data\raw\freesound\previews\distant_traffic\freesound_776260.mp3,freesound_preview,交通或机械噪声,,weak,freesound_category,杭州,yes,,
freesound_818390,data\raw\freesound\previews\distant_traffic\freesound_818390.mp3,freesound_preview,交通或机械噪声,,weak,freesound_category,杭州,yes,,
freesound_838794,data\raw\freesound\previews\distant_traffic\freesound_838794.mp3,freesound_preview,交通或机械噪声,,weak,freesound_category,杭州,yes,,
freesound_846302,data\raw\freesound\previews\distant_traffic\freesound_846302.mp3,freesound_preview,交通或机械噪声,,weak,freesound_category,杭州,yes,,
freesound_860931,data\raw\freesound\previews\distant_traffic\freesound_860931.mp3,freesound_preview,交通或机械噪声,,weak,freesound_category,杭州,yes,,
freesound_376809,data\raw\freesound\previews\people_footsteps\freesound_376809.mp3,freesound_preview,脚步,,weak,freesound_category,杭州,yes,,
freesound_415204,data\raw\freesound\previews\people_footsteps\freesound_415204.mp3,freesound_preview,脚步,,weak,freesound_category,杭州,yes,,
freesound_420555,data\raw\freesound\previews\people_footsteps\freesound_420555.mp3,freesound_preview,脚步,,weak,freesound_category,杭州,yes,,
freesound_423377,data\raw\freesound\previews\people_footsteps\freesound_423377.mp3,freesound_preview,脚步,,weak,freesound_category,杭州,yes,,
freesound_745820,data\raw\freesound\previews\people_footsteps\freesound_745820.mp3,freesound_preview,脚步,,weak,freesound_category,杭州,yes,,
freesound_761636,data\raw\freesound\previews\people_footsteps\freesound_761636.mp3,freesound_preview,脚步,,weak,freesound_category,杭州,yes,,
freesound_763506,data\raw\freesound\previews\people_footsteps\freesound_763506.mp3,freesound_preview,脚步,,weak,freesound_category,杭州,yes,,
freesound_789609,data\raw\freesound\previews\people_footsteps\freesound_789609.mp3,freesound_preview,脚步,,weak,freesound_category,杭州,yes,,
freesound_828011,data\raw\freesound\previews\people_footsteps\freesound_828011.mp3,freesound_preview,脚步,,weak,freesound_category,杭州,yes,,
freesound_842151,data\raw\freesound\previews\people_footsteps\freesound_842151.mp3,freesound_preview,脚步,,weak,freesound_category,杭州,yes,,
freesound_173447,data\raw\freesound\previews\rain_water_park\freesound_173447.mp3,freesound_preview,雨水|流水,,weak,freesound_category,杭州,yes,,
freesound_200972,data\raw\freesound\previews\rain_water_park\freesound_200972.mp3,freesound_preview,雨水|流水,,weak,freesound_category,杭州,yes,,
freesound_232204,data\raw\freesound\previews\rain_water_park\freesound_232204.mp3,freesound_preview,雨水|流水,,weak,freesound_category,杭州,yes,,
freesound_398740,data\raw\freesound\previews\rain_water_park\freesound_398740.mp3,freesound_preview,雨水|流水,,weak,freesound_category,杭州,yes,,
freesound_521388,data\raw\freesound\previews\rain_water_park\freesound_521388.mp3,freesound_preview,雨水|流水,,weak,freesound_category,杭州,yes,,
freesound_521841,data\raw\freesound\previews\rain_water_park\freesound_521841.mp3,freesound_preview,雨水|流水,,weak,freesound_category,杭州,yes,,
freesound_569803,data\raw\freesound\previews\rain_water_park\freesound_569803.mp3,freesound_preview,雨水|流水,,weak,freesound_category,杭州,yes,,
freesound_582921,data\raw\freesound\previews\rain_water_park\freesound_582921.mp3,freesound_preview,雨水|流水,,weak,freesound_category,杭州,yes,,
freesound_636568,data\raw\freesound\previews\rain_water_park\freesound_636568.mp3,freesound_preview,雨水|流水,,weak,freesound_category,杭州,yes,,
freesound_848492,data\raw\freesound\previews\rain_water_park\freesound_848492.mp3,freesound_preview,雨水|流水,,weak,freesound_category,杭州,yes,,
freesound_243880,data\raw\freesound\previews\wind_trees\freesound_243880.mp3,freesound_preview,风和树叶,,weak,freesound_category,杭州,yes,,
freesound_243881,data\raw\freesound\previews\wind_trees\freesound_243881.mp3,freesound_preview,风和树叶,,weak,freesound_category,杭州,yes,,
freesound_243882,data\raw\freesound\previews\wind_trees\freesound_243882.mp3,freesound_preview,风和树叶,,weak,freesound_category,杭州,yes,,
freesound_243883,data\raw\freesound\previews\wind_trees\freesound_243883.mp3,freesound_preview,风和树叶,,weak,freesound_category,杭州,yes,,
freesound_259968,data\raw\freesound\previews\wind_trees\freesound_259968.mp3,freesound_preview,风和树叶,,weak,freesound_category,杭州,yes,,
freesound_276294,data\raw\freesound\previews\wind_trees\freesound_276294.mp3,freesound_preview,风和树叶,,weak,freesound_category,杭州,yes,,
freesound_376534,data\raw\freesound\previews\wind_trees\freesound_376534.mp3,freesound_preview,风和树叶,,weak,freesound_category,杭州,yes,,
freesound_529779,data\raw\freesound\previews\wind_trees\freesound_529779.mp3,freesound_preview,风和树叶,,weak,freesound_category,杭州,yes,,
freesound_656899,data\raw\freesound\previews\wind_trees\freesound_656899.mp3,freesound_preview,风和树叶,,weak,freesound_category,杭州,yes,,
freesound_753418,data\raw\freesound\previews\wind_trees\freesound_753418.mp3,freesound_preview,风和树叶,,weak,freesound_category,杭州,yes,,
