mixture_path,scenario,expected_species_zh,candidate_species_zh,candidate_birdnet_label,confidence,rank,is_expected,displayed
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/010__喜鹊__大杜鹃__棕脸鹟莺.wav,overlap_three_equal,喜鹊|大杜鹃|棕脸鹟莺,喜鹊,Pica serica_Oriental Magpie,0.355094,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/010__喜鹊__大杜鹃__棕脸鹟莺.wav,overlap_three_equal,喜鹊|大杜鹃|棕脸鹟莺,大杜鹃,Cuculus canorus_Common Cuckoo,0.211001,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/010__喜鹊__大杜鹃__棕脸鹟莺.wav,overlap_three_equal,喜鹊|大杜鹃|棕脸鹟莺,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.16537,3,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/011__大杜鹃__强脚树莺.wav,overlap_equal,大杜鹃|强脚树莺,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.991452,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/011__大杜鹃__强脚树莺.wav,overlap_equal,大杜鹃|强脚树莺,大杜鹃,Cuculus canorus_Common Cuckoo,0.269257,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/012__大杜鹃__强脚树莺.wav,overlap_secondary_minus_6db,大杜鹃|强脚树莺,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.973861,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/012__大杜鹃__强脚树莺.wav,overlap_secondary_minus_6db,大杜鹃|强脚树莺,大杜鹃,Cuculus canorus_Common Cuckoo,0.268321,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/013__大杜鹃__强脚树莺.wav,overlap_secondary_minus_12db,大杜鹃|强脚树莺,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.669948,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/013__大杜鹃__强脚树莺.wav,overlap_secondary_minus_12db,大杜鹃|强脚树莺,大杜鹃,Cuculus canorus_Common Cuckoo,0.308343,2,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/014__大杜鹃__强脚树莺.wav,sequential_equal,大杜鹃|强脚树莺,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.999162,1,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/014__大杜鹃__强脚树莺.wav,sequential_equal,大杜鹃|强脚树莺,大杜鹃,Cuculus canorus_Common Cuckoo,0.978681,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/015__大杜鹃__强脚树莺__珠颈斑鸠.wav,overlap_three_equal,大杜鹃|强脚树莺|珠颈斑鸠,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.993198,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/015__大杜鹃__强脚树莺__珠颈斑鸠.wav,overlap_three_equal,大杜鹃|强脚树莺|珠颈斑鸠,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.077256,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/016__强脚树莺__棕背伯劳.wav,overlap_equal,强脚树莺|棕背伯劳,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.849476,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/016__强脚树莺__棕背伯劳.wav,overlap_equal,强脚树莺|棕背伯劳,棕背伯劳,Lanius schach_Long-tailed Shrike,0.674535,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/016__强脚树莺__棕背伯劳.wav,overlap_equal,强脚树莺|棕背伯劳,红尾伯劳,Lanius cristatus_Brown Shrike,0.079708,3,False,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/017__强脚树莺__棕背伯劳.wav,overlap_secondary_minus_6db,强脚树莺|棕背伯劳,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.835285,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/017__强脚树莺__棕背伯劳.wav,overlap_secondary_minus_6db,强脚树莺|棕背伯劳,棕背伯劳,Lanius schach_Long-tailed Shrike,0.417875,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/017__强脚树莺__棕背伯劳.wav,overlap_secondary_minus_6db,强脚树莺|棕背伯劳,红尾伯劳,Lanius cristatus_Brown Shrike,0.014548,3,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/018__强脚树莺__棕背伯劳.wav,overlap_secondary_minus_12db,强脚树莺|棕背伯劳,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.958145,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/018__强脚树莺__棕背伯劳.wav,overlap_secondary_minus_12db,强脚树莺|棕背伯劳,棕背伯劳,Lanius schach_Long-tailed Shrike,0.054698,2,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/019__强脚树莺__棕背伯劳.wav,sequential_equal,强脚树莺|棕背伯劳,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.999162,1,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/019__强脚树莺__棕背伯劳.wav,sequential_equal,强脚树莺|棕背伯劳,棕背伯劳,Lanius schach_Long-tailed Shrike,0.970085,2,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/019__强脚树莺__棕背伯劳.wav,sequential_equal,强脚树莺|棕背伯劳,红尾伯劳,Lanius cristatus_Brown Shrike,0.026473,3,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/020__强脚树莺__棕背伯劳__白头鹎.wav,overlap_three_equal,强脚树莺|棕背伯劳|白头鹎,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.891264,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/020__强脚树莺__棕背伯劳__白头鹎.wav,overlap_three_equal,强脚树莺|棕背伯劳|白头鹎,棕背伯劳,Lanius schach_Long-tailed Shrike,0.572175,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/020__强脚树莺__棕背伯劳__白头鹎.wav,overlap_three_equal,强脚树莺|棕背伯劳|白头鹎,大陆画眉,Garrulax canorus_Chinese Hwamei,0.079966,3,False,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/020__强脚树莺__棕背伯劳__白头鹎.wav,overlap_three_equal,强脚树莺|棕背伯劳|白头鹎,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.072366,4,True,False
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/020__强脚树莺__棕背伯劳__白头鹎.wav,overlap_three_equal,强脚树莺|棕背伯劳|白头鹎,红尾伯劳,Lanius cristatus_Brown Shrike,0.029717,5,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_equal/021__棕背伯劳__棕脸鹟莺.wav,overlap_equal,棕背伯劳|棕脸鹟莺,棕背伯劳,Lanius schach_Long-tailed Shrike,0.959572,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/021__棕背伯劳__棕脸鹟莺.wav,overlap_equal,棕背伯劳|棕脸鹟莺,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.510544,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/021__棕背伯劳__棕脸鹟莺.wav,overlap_equal,棕背伯劳|棕脸鹟莺,红尾伯劳,Lanius cristatus_Brown Shrike,0.226705,3,False,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/022__棕背伯劳__棕脸鹟莺.wav,overlap_secondary_minus_6db,棕背伯劳|棕脸鹟莺,棕背伯劳,Lanius schach_Long-tailed Shrike,0.954179,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/022__棕背伯劳__棕脸鹟莺.wav,overlap_secondary_minus_6db,棕背伯劳|棕脸鹟莺,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.378913,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/022__棕背伯劳__棕脸鹟莺.wav,overlap_secondary_minus_6db,棕背伯劳|棕脸鹟莺,红尾伯劳,Lanius cristatus_Brown Shrike,0.316304,3,False,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/023__棕背伯劳__棕脸鹟莺.wav,overlap_secondary_minus_12db,棕背伯劳|棕脸鹟莺,棕背伯劳,Lanius schach_Long-tailed Shrike,0.949165,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/023__棕背伯劳__棕脸鹟莺.wav,overlap_secondary_minus_12db,棕背伯劳|棕脸鹟莺,红尾伯劳,Lanius cristatus_Brown Shrike,0.313311,2,False,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/023__棕背伯劳__棕脸鹟莺.wav,overlap_secondary_minus_12db,棕背伯劳|棕脸鹟莺,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.21441,3,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/024__棕背伯劳__棕脸鹟莺.wav,sequential_equal,棕背伯劳|棕脸鹟莺,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.999959,1,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/024__棕背伯劳__棕脸鹟莺.wav,sequential_equal,棕背伯劳|棕脸鹟莺,棕背伯劳,Lanius schach_Long-tailed Shrike,0.970051,2,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/024__棕背伯劳__棕脸鹟莺.wav,sequential_equal,棕背伯劳|棕脸鹟莺,红尾伯劳,Lanius cristatus_Brown Shrike,0.026448,3,False,False
data/interim/challenge_2026_multibird_mixtures/sequential_equal/024__棕背伯劳__棕脸鹟莺.wav,sequential_equal,棕背伯劳|棕脸鹟莺,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.025742,4,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/025__棕背伯劳__棕脸鹟莺__红嘴蓝鹊.wav,overlap_three_equal,棕背伯劳|棕脸鹟莺|红嘴蓝鹊,棕背伯劳,Lanius schach_Long-tailed Shrike,0.848318,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/025__棕背伯劳__棕脸鹟莺__红嘴蓝鹊.wav,overlap_three_equal,棕背伯劳|棕脸鹟莺|红嘴蓝鹊,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.332663,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/025__棕背伯劳__棕脸鹟莺__红嘴蓝鹊.wav,overlap_three_equal,棕背伯劳|棕脸鹟莺|红嘴蓝鹊,红尾伯劳,Lanius cristatus_Brown Shrike,0.161005,3,False,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/026__棕脸鹟莺__珠颈斑鸠.wav,overlap_equal,棕脸鹟莺|珠颈斑鸠,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.999959,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/026__棕脸鹟莺__珠颈斑鸠.wav,overlap_equal,棕脸鹟莺|珠颈斑鸠,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.990244,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/026__棕脸鹟莺__珠颈斑鸠.wav,overlap_equal,棕脸鹟莺|珠颈斑鸠,金背鸠,Streptopelia orientalis_Oriental Turtle-Dove,0.037192,3,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/027__棕脸鹟莺__珠颈斑鸠.wav,overlap_secondary_minus_6db,棕脸鹟莺|珠颈斑鸠,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.999947,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/027__棕脸鹟莺__珠颈斑鸠.wav,overlap_secondary_minus_6db,棕脸鹟莺|珠颈斑鸠,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.972539,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/027__棕脸鹟莺__珠颈斑鸠.wav,overlap_secondary_minus_6db,棕脸鹟莺|珠颈斑鸠,金背鸠,Streptopelia orientalis_Oriental Turtle-Dove,0.031434,3,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/028__棕脸鹟莺__珠颈斑鸠.wav,overlap_secondary_minus_12db,棕脸鹟莺|珠颈斑鸠,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.99992,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/028__棕脸鹟莺__珠颈斑鸠.wav,overlap_secondary_minus_12db,棕脸鹟莺|珠颈斑鸠,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.390165,2,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/029__棕脸鹟莺__珠颈斑鸠.wav,sequential_equal,棕脸鹟莺|珠颈斑鸠,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.999959,1,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/029__棕脸鹟莺__珠颈斑鸠.wav,sequential_equal,棕脸鹟莺|珠颈斑鸠,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.99658,2,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/029__棕脸鹟莺__珠颈斑鸠.wav,sequential_equal,棕脸鹟莺|珠颈斑鸠,强脚树莺,Horornis fortipes_Brownish-flanked Bush Warbler,0.025742,3,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/030__棕脸鹟莺__珠颈斑鸠__鹊鸲.wav,overlap_three_equal,棕脸鹟莺|珠颈斑鸠|鹊鸲,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.990259,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/030__棕脸鹟莺__珠颈斑鸠__鹊鸲.wav,overlap_three_equal,棕脸鹟莺|珠颈斑鸠|鹊鸲,棕脸鹟莺,Abroscopus albogularis_Rufous-faced Warbler,0.90346,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/030__棕脸鹟莺__珠颈斑鸠__鹊鸲.wav,overlap_three_equal,棕脸鹟莺|珠颈斑鸠|鹊鸲,鹊鸲,Copsychus saularis_Oriental Magpie-Robin,0.313794,3,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/030__棕脸鹟莺__珠颈斑鸠__鹊鸲.wav,overlap_three_equal,棕脸鹟莺|珠颈斑鸠|鹊鸲,金背鸠,Streptopelia orientalis_Oriental Turtle-Dove,0.070747,4,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_equal/031__珠颈斑鸠__白头鹎.wav,overlap_equal,珠颈斑鸠|白头鹎,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.727452,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/031__珠颈斑鸠__白头鹎.wav,overlap_equal,珠颈斑鸠|白头鹎,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.353373,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/031__珠颈斑鸠__白头鹎.wav,overlap_equal,珠颈斑鸠|白头鹎,白腹鸫,Turdus pallidus_Pale Thrush,0.014697,3,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_equal/031__珠颈斑鸠__白头鹎.wav,overlap_equal,珠颈斑鸠|白头鹎,金背鸠,Streptopelia orientalis_Oriental Turtle-Dove,0.01192,4,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/032__珠颈斑鸠__白头鹎.wav,overlap_secondary_minus_6db,珠颈斑鸠|白头鹎,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.901685,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/032__珠颈斑鸠__白头鹎.wav,overlap_secondary_minus_6db,珠颈斑鸠|白头鹎,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.338887,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/032__珠颈斑鸠__白头鹎.wav,overlap_secondary_minus_6db,珠颈斑鸠|白头鹎,金背鸠,Streptopelia orientalis_Oriental Turtle-Dove,0.02428,3,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/032__珠颈斑鸠__白头鹎.wav,overlap_secondary_minus_6db,珠颈斑鸠|白头鹎,白腹鸫,Turdus pallidus_Pale Thrush,0.016255,4,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/033__珠颈斑鸠__白头鹎.wav,overlap_secondary_minus_12db,珠颈斑鸠|白头鹎,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.904778,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/033__珠颈斑鸠__白头鹎.wav,overlap_secondary_minus_12db,珠颈斑鸠|白头鹎,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.185569,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/033__珠颈斑鸠__白头鹎.wav,overlap_secondary_minus_12db,珠颈斑鸠|白头鹎,金背鸠,Streptopelia orientalis_Oriental Turtle-Dove,0.019356,3,False,False
data/interim/challenge_2026_multibird_mixtures/sequential_equal/034__珠颈斑鸠__白头鹎.wav,sequential_equal,珠颈斑鸠|白头鹎,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.996563,1,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/034__珠颈斑鸠__白头鹎.wav,sequential_equal,珠颈斑鸠|白头鹎,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.911653,2,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/034__珠颈斑鸠__白头鹎.wav,sequential_equal,珠颈斑鸠|白头鹎,白腹鸫,Turdus pallidus_Pale Thrush,0.019028,3,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/035__珠颈斑鸠__白头鹎__麻雀.wav,overlap_three_equal,珠颈斑鸠|白头鹎|麻雀,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.445066,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/035__珠颈斑鸠__白头鹎__麻雀.wav,overlap_three_equal,珠颈斑鸠|白头鹎|麻雀,珠颈斑鸠,Streptopelia chinensis_Spotted Dove,0.424989,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/035__珠颈斑鸠__白头鹎__麻雀.wav,overlap_three_equal,珠颈斑鸠|白头鹎|麻雀,麻雀,Passer montanus_Eurasian Tree Sparrow,0.052025,3,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/035__珠颈斑鸠__白头鹎__麻雀.wav,overlap_three_equal,珠颈斑鸠|白头鹎|麻雀,山麻雀,Passer cinnamomeus_Russet Sparrow,0.022834,4,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/035__珠颈斑鸠__白头鹎__麻雀.wav,overlap_three_equal,珠颈斑鸠|白头鹎|麻雀,斯氏绣眼,Zosterops simplex_Swinhoe's White-eye,0.01202,5,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_equal/036__白头鹎__红嘴蓝鹊.wav,overlap_equal,白头鹎|红嘴蓝鹊,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.753275,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/036__白头鹎__红嘴蓝鹊.wav,overlap_equal,白头鹎|红嘴蓝鹊,乌鸫,Turdus mandarinus_Chinese Blackbird,0.059091,2,False,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/036__白头鹎__红嘴蓝鹊.wav,overlap_equal,白头鹎|红嘴蓝鹊,红嘴蓝鹊,Urocissa erythroryncha_Red-billed Blue-Magpie,0.033109,3,True,False
data/interim/challenge_2026_multibird_mixtures/overlap_equal/036__白头鹎__红嘴蓝鹊.wav,overlap_equal,白头鹎|红嘴蓝鹊,红隼,Falco tinnunculus_Eurasian Kestrel,0.011738,4,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_equal/036__白头鹎__红嘴蓝鹊.wav,overlap_equal,白头鹎|红嘴蓝鹊,红嘴黑鹎,Hypsipetes leucocephalus_Black Bulbul,0.010409,5,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/037__白头鹎__红嘴蓝鹊.wav,overlap_secondary_minus_6db,白头鹎|红嘴蓝鹊,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.550005,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/037__白头鹎__红嘴蓝鹊.wav,overlap_secondary_minus_6db,白头鹎|红嘴蓝鹊,乌鸫,Turdus mandarinus_Chinese Blackbird,0.016945,2,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/038__白头鹎__红嘴蓝鹊.wav,overlap_secondary_minus_12db,白头鹎|红嘴蓝鹊,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.665946,1,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/039__白头鹎__红嘴蓝鹊.wav,sequential_equal,白头鹎|红嘴蓝鹊,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.911728,1,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/039__白头鹎__红嘴蓝鹊.wav,sequential_equal,白头鹎|红嘴蓝鹊,红嘴蓝鹊,Urocissa erythroryncha_Red-billed Blue-Magpie,0.651514,2,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/039__白头鹎__红嘴蓝鹊.wav,sequential_equal,白头鹎|红嘴蓝鹊,白腹鸫,Turdus pallidus_Pale Thrush,0.018885,3,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/040__白头鹎__红嘴蓝鹊__乌鸫.wav,overlap_three_equal,白头鹎|红嘴蓝鹊|乌鸫,白头鹎,Pycnonotus sinensis_Light-vented Bulbul,0.642439,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/040__白头鹎__红嘴蓝鹊__乌鸫.wav,overlap_three_equal,白头鹎|红嘴蓝鹊|乌鸫,乌鸫,Turdus mandarinus_Chinese Blackbird,0.06613,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/040__白头鹎__红嘴蓝鹊__乌鸫.wav,overlap_three_equal,白头鹎|红嘴蓝鹊|乌鸫,红嘴蓝鹊,Urocissa erythroryncha_Red-billed Blue-Magpie,0.053483,3,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/040__白头鹎__红嘴蓝鹊__乌鸫.wav,overlap_three_equal,白头鹎|红嘴蓝鹊|乌鸫,红嘴黑鹎,Hypsipetes leucocephalus_Black Bulbul,0.029664,4,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/040__白头鹎__红嘴蓝鹊__乌鸫.wav,overlap_three_equal,白头鹎|红嘴蓝鹊|乌鸫,丝光椋鸟,Spodiopsar sericeus_Red-billed Starling,0.021057,5,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/040__白头鹎__红嘴蓝鹊__乌鸫.wav,overlap_three_equal,白头鹎|红嘴蓝鹊|乌鸫,白颊山雀,Parus minor_Japanese Tit,0.015213,6,False,False
