detection_id,recording_id,period,captured_at,local_path,relative_path,start_seconds,end_seconds,taxon_id,name_zh,scientific_name,birdnet_label,confidence,review_status,reviewer,review_notes
challenge_4785014132b8158913ef_pycnonotus_sinensis_00006000,challenge_4785014132b8158913ef,2026A 0116-0122,2026-01-18T05:30:04,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260118_053004.wav,2026A 0116-0122/AAA001_20260118_053004.wav,6.0,9.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.073972,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_4785014132b8158913ef_turdus_mandarinus_00015000,challenge_4785014132b8158913ef,2026A 0116-0122,2026-01-18T05:30:04,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260118_053004.wav,2026A 0116-0122/AAA001_20260118_053004.wav,15.0,18.0,turdus_mandarinus,乌鸫,Turdus mandarinus,Turdus mandarinus_Chinese Blackbird,0.06562,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_4785014132b8158913ef_turdus_mandarinus_00051000,challenge_4785014132b8158913ef,2026A 0116-0122,2026-01-18T05:30:04,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260118_053004.wav,2026A 0116-0122/AAA001_20260118_053004.wav,51.0,54.0,turdus_mandarinus,乌鸫,Turdus mandarinus,Turdus mandarinus_Chinese Blackbird,0.075316,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_ea16b75db63458fe1a1b_turdus_mandarinus_00030000,challenge_ea16b75db63458fe1a1b,2026A 0116-0122,2026-01-19T05:25:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_052502.wav,2026A 0116-0122/AAA001_20260119_052502.wav,30.0,33.0,turdus_mandarinus,乌鸫,Turdus mandarinus,Turdus mandarinus_Chinese Blackbird,0.058885,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_a5d1ba113a71a2a63cc3_pycnonotus_sinensis_00051000,challenge_a5d1ba113a71a2a63cc3,2026A 0116-0122,2026-01-19T11:35:03,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_113503.wav,2026A 0116-0122/AAA001_20260119_113503.wav,51.0,54.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.071139,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_7ba4333dc83492706bca_turdus_mandarinus_00009000,challenge_7ba4333dc83492706bca,2026A 0116-0122,2026-01-21T05:50:03,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260121_055003.wav,2026A 0116-0122/AAA001_20260121_055003.wav,9.0,12.0,turdus_mandarinus,乌鸫,Turdus mandarinus,Turdus mandarinus_Chinese Blackbird,0.060131,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_7ba4333dc83492706bca_turdus_mandarinus_00045000,challenge_7ba4333dc83492706bca,2026A 0116-0122,2026-01-21T05:50:03,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260121_055003.wav,2026A 0116-0122/AAA001_20260121_055003.wav,45.0,48.0,turdus_mandarinus,乌鸫,Turdus mandarinus,Turdus mandarinus_Chinese Blackbird,0.144733,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_2e6ed7db933d35fef615_spilopelia_chinensis_00006000,challenge_2e6ed7db933d35fef615,2026A 0116-0122,2026-01-22T12:00:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260122_120001.wav,2026A 0116-0122/AAA001_20260122_120001.wav,6.0,9.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.752391,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_2e6ed7db933d35fef615_spilopelia_chinensis_00009000,challenge_2e6ed7db933d35fef615,2026A 0116-0122,2026-01-22T12:00:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260122_120001.wav,2026A 0116-0122/AAA001_20260122_120001.wav,9.0,12.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.288729,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_2e6ed7db933d35fef615_spilopelia_chinensis_00012000,challenge_2e6ed7db933d35fef615,2026A 0116-0122,2026-01-22T12:00:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260122_120001.wav,2026A 0116-0122/AAA001_20260122_120001.wav,12.0,15.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.599189,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_2e6ed7db933d35fef615_passer_montanus_00024000,challenge_2e6ed7db933d35fef615,2026A 0116-0122,2026-01-22T12:00:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260122_120001.wav,2026A 0116-0122/AAA001_20260122_120001.wav,24.0,27.0,passer_montanus,麻雀,Passer montanus,Passer montanus_Eurasian Tree Sparrow,0.068902,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_5f46989630dc3bef1b66_pycnonotus_sinensis_00015000,challenge_5f46989630dc3bef1b66,2026B 0326-0401,2026-03-26T12:00:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260326_120002.wav,2026B 0326-0401/AAA001_20260326_120002.wav,15.0,18.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.26417,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_5f46989630dc3bef1b66_pycnonotus_sinensis_00021000,challenge_5f46989630dc3bef1b66,2026B 0326-0401,2026-03-26T12:00:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260326_120002.wav,2026B 0326-0401/AAA001_20260326_120002.wav,21.0,24.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.075627,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_f34cb35c5b96509325ba_spilopelia_chinensis_00012000,challenge_f34cb35c5b96509325ba,2026B 0326-0401,2026-03-26T17:40:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260326_174002.wav,2026B 0326-0401/AAA001_20260326_174002.wav,12.0,15.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.877229,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_f34cb35c5b96509325ba_spilopelia_chinensis_00024000,challenge_f34cb35c5b96509325ba,2026B 0326-0401,2026-03-26T17:40:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260326_174002.wav,2026B 0326-0401/AAA001_20260326_174002.wav,24.0,27.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.534326,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_f34cb35c5b96509325ba_spilopelia_chinensis_00036000,challenge_f34cb35c5b96509325ba,2026B 0326-0401,2026-03-26T17:40:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260326_174002.wav,2026B 0326-0401/AAA001_20260326_174002.wav,36.0,39.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.664795,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_spilopelia_chinensis_00000000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,0.0,3.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.349294,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_spilopelia_chinensis_00003000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,3.0,6.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.66884,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_spilopelia_chinensis_00006000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,6.0,9.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.571661,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_spilopelia_chinensis_00009000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,9.0,12.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.34563,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_turdus_mandarinus_00009000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,9.0,12.0,turdus_mandarinus,乌鸫,Turdus mandarinus,Turdus mandarinus_Chinese Blackbird,0.095653,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_spilopelia_chinensis_00012000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,12.0,15.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.451517,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_spilopelia_chinensis_00015000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,15.0,18.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.311226,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_turdus_mandarinus_00015000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,15.0,18.0,turdus_mandarinus,乌鸫,Turdus mandarinus,Turdus mandarinus_Chinese Blackbird,0.090733,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_spilopelia_chinensis_00018000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,18.0,21.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.851914,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_spilopelia_chinensis_00021000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,21.0,24.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.930148,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_spilopelia_chinensis_00024000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,24.0,27.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.299338,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_pycnonotus_sinensis_00024000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,24.0,27.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.110599,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_spilopelia_chinensis_00027000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,27.0,30.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.488196,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_pycnonotus_sinensis_00036000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,36.0,39.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.094845,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_turdus_mandarinus_00039000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,39.0,42.0,turdus_mandarinus,乌鸫,Turdus mandarinus,Turdus mandarinus_Chinese Blackbird,0.106409,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_c336fa6f5ee13e9780af_pycnonotus_sinensis_00048000,challenge_c336fa6f5ee13e9780af,2026B 0326-0401,2026-03-27T06:05:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_060501.wav,2026B 0326-0401/AAA001_20260327_060501.wav,48.0,51.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.09734,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_7b686a4647a31ee82f92_turdus_mandarinus_00051000,challenge_7b686a4647a31ee82f92,2026B 0326-0401,2026-03-27T11:45:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_114502.wav,2026B 0326-0401/AAA001_20260327_114502.wav,51.0,54.0,turdus_mandarinus,乌鸫,Turdus mandarinus,Turdus mandarinus_Chinese Blackbird,0.074796,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_spilopelia_chinensis_00000000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,0.0,3.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.088466,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_spilopelia_chinensis_00003000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,3.0,6.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.413676,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_pycnonotus_sinensis_00003000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,3.0,6.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.053307,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_spilopelia_chinensis_00006000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,6.0,9.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.133148,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_spilopelia_chinensis_00009000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,9.0,12.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.108481,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_spilopelia_chinensis_00012000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,12.0,15.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.137511,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_spilopelia_chinensis_00018000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,18.0,21.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.119601,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_spilopelia_chinensis_00021000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,21.0,24.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.074221,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_spilopelia_chinensis_00024000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,24.0,27.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.19664,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_spilopelia_chinensis_00033000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,33.0,36.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.095244,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_058fd808b73bfecb6f2c_spilopelia_chinensis_00036000,challenge_058fd808b73bfecb6f2c,2026B 0326-0401,2026-03-27T17:30:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026B 0326-0401\AAA001_20260327_173002.wav,2026B 0326-0401/AAA001_20260327_173002.wav,36.0,39.0,spilopelia_chinensis,珠颈斑鸠,Spilopelia chinensis,Streptopelia chinensis_Spotted Dove,0.137892,pending,,BirdNET候选；人工回听前不作为物种事实。
