attribution_required,attribution_text,audio_format,audio_subtype,background_labels,birdnet_max_confidence,birdnet_target_detections,birdnet_top_species,bytes,category,category_name_zh,channels,clipping_sample_fraction,codec_stderr,collector_note,commercial_compatible,contains_speech,contains_target_species,current_path,dataset_key,decode_status,downloaded_at,duration_seconds,filename,frames,freesound_id,human_contains_speech,human_contains_target_species,human_final_class,human_review_notes,human_reviewed_at,human_reviewer,human_valid_intervals,indexed_at,intended_use,item_id,label_basis,label_source,license,license_code,license_label,local_path,metadata_bird_terms,metadata_speech_terms,mixture_hint,name,num_downloads,peak_dbfs,preview_kind,preview_sha256,preview_url,primary_label_weak,privacy_risk,provisional_class,quality_flag,quality_read_error,query,read_error,recording_id,review_notes,review_priority,review_reasons,review_recommendation,review_status,reviewed_class,reviewed_primary_label,rms_dbfs,samplerate,sha256,silent_block_fraction,sound_url,source,source_id,source_url,suffix,tags,username,valid_intervals
,,MP3,MPEG_LAYER_III,,0.295841,,乌鸫,2876009,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,birdnet_supports_filename_needs_listening,D:\C\Desktop\ai\xykw\data\XC1136970 - 乌鸫 - Turdus mandarinus.mp3,existing,ok,,119.561917,XC1136970 - 乌鸫 - Turdus mandarinus.mp3,5738972,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_a38974203003_05e17d45,filename_xeno_canto,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\XC1136970 - 乌鸫 - Turdus mandarinus.mp3,,,False,XC1136970 - 乌鸫 - Turdus mandarinus.mp3,,-9.778,,,,乌鸫,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,,XC1136970 - 乌鸫 - Turdus mandarinus,,1,core_species_positive_candidate,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-39.089,48000,a389742030032de7763652e5938b9bebe95a68dbcd9a7516b490a819742e5646,0.621237,,xeno_canto,XC1136970,,.mp3,,,
,,MP3,MPEG_LAYER_III,,0.956382,,珠颈斑鸠,4483360,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,birdnet_supports_filename_needs_listening,D:\C\Desktop\ai\xykw\data\XC999942 - 珠颈斑鸠 - Spilopelia chinensis.mp3,existing,ok,,186.418813,XC999942 - 珠颈斑鸠 - Spilopelia chinensis.mp3,8948103,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_acc261154a02_86a1defc,filename_xeno_canto,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\XC999942 - 珠颈斑鸠 - Spilopelia chinensis.mp3,,,False,XC999942 - 珠颈斑鸠 - Spilopelia chinensis.mp3,,-25.027,,,,珠颈斑鸠,unknown_needs_listening,positive_species_candidate,very_quiet_review,,,,XC999942 - 珠颈斑鸠 - Spilopelia chinensis,,1,core_species_positive_candidate,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-51.054,48000,acc261154a023463ec5b9adabc725d51548eb4b4c2cac8a8efee00fc2e9a4418,0.820375,,xeno_canto,XC999942,,.mp3,,,
,,MP3,MPEG_LAYER_III,,0.0,,,66836,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,filename_positive_birdnet_not_confirmed,D:\C\Desktop\ai\xykw\data\XC1136969 - 乌鸫 - Turdus mandarinus.mp3,existing,ok,,2.5045,XC1136969 - 乌鸫 - Turdus mandarinus.mp3,120216,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_d0c22dbaa829_60e8fe2f,filename_xeno_canto,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\XC1136969 - 乌鸫 - Turdus mandarinus.mp3,,,False,XC1136969 - 乌鸫 - Turdus mandarinus.mp3,,-34.109,,,,乌鸫,unknown_needs_listening,positive_species_candidate,very_quiet_review,,,,XC1136969 - 乌鸫 - Turdus mandarinus,,1,core_species_positive_candidate|birdnet_did_not_confirm_filename_label,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-50.789,48000,d0c22dbaa829f5de872ff889a8066e876cf47bdebe4229093cee7770372d48c3,0.769231,,xeno_canto,XC1136969,,.mp3,,,
,,WAV,PCM_24,,0.0,,,41767326,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1).wav,existing,ok,,145.0,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1).wav,6960000,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_d1b4b43ea30f_e717a362,filename_xeno_canto,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1).wav,,,False,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1).wav,,-3.0,,,,小䴙䴘,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1),,1,exact_duplicate_content,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-34.115,48000,d1b4b43ea30f292269c06aff3ca681993cd1a25f8be299ae5ddae3e0591bed06,0.013793,,xeno_canto,XC1145570,,.wav,,,
,,WAV,PCM_24,,0.0,,,41767326,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,existing,ok,,145.0,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,6960000,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_d1b4b43ea30f_f03cea5a,filename_xeno_canto,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,,,False,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,,-3.0,,,,小䴙䴘,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1),,1,exact_duplicate_content,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-34.115,48000,d1b4b43ea30f292269c06aff3ca681993cd1a25f8be299ae5ddae3e0591bed06,0.013793,,xeno_canto,XC1145570,,.wav,,,
,,MP3,MPEG_LAYER_III,,0.0,,,482389,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,filename_positive_birdnet_not_confirmed,D:\C\Desktop\ai\xykw\data\XC1147853 - 乌鸫 - Turdus mandarinus.mp3,existing,ok,,30.084979,XC1147853 - 乌鸫 - Turdus mandarinus.mp3,1444079,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_f25ecbc90288_c2504749,filename_xeno_canto,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\XC1147853 - 乌鸫 - Turdus mandarinus.mp3,,,False,XC1147853 - 乌鸫 - Turdus mandarinus.mp3,,-1.226,,,,乌鸫,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,,XC1147853 - 乌鸫 - Turdus mandarinus,,1,core_species_positive_candidate|birdnet_did_not_confirm_filename_label,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-30.841,48000,f25ecbc90288f0deacaccfaacee449d6d20cf1e7550d0c704ac70bb47511e861,0.282392,,xeno_canto,XC1147853,,.mp3,,,
False,Rain Dripping 01.wav by NHumphrey (CC0),,,,0.0,,,,rain_water_park,雨水与公园环境,,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,,freesound,ok,2026-07-31T09:10:35.635322+00:00,22.72,,,200972,,,,,,,,,background,freesound_200972,,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\rain_water_park\freesound_200972.mp3,,,,Rain Dripping 01.wav,140,-13.29,hq-mp3,b40ec9d6ba284893d64d1530e151c341ce74f4b6e74769220fd9a4ba471514ec,https://cdn.freesound.org/previews/200/200972_3430035-hq.mp3,,low,background_candidate,very_quiet_review,,rain outdoors field-recording -music -loop -synthetic,,,,1,audio_quality_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-46.414,48000.0,,0.02193,https://freesound.org/s/200972/,freesound_public_web,,,,Drip|Field-Recording|Light-Rain|Outdoors|Rain|Storm|Water|Weather,NHumphrey,
True,outdoor ambience by daenerys (CC-BY),,,,0.0,,,,distant_traffic,远处交通,,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,,freesound,ok,2026-07-31T08:59:56.583534+00:00,45.3888,,,260726,,,,,,,,,background,freesound_260726,,category_title_tags_heuristic,https://creativecommons.org/licenses/by/4.0/,CC-BY,Attribution 4.0,data\raw\freesound\previews\distant_traffic\freesound_260726.mp3,birds,,,outdoor ambience,3285,-18.285,hq-mp3,3c1fb7eb6782397d3758aaa353298e05c8dcc492d06b6acba706a4bb811f0eb1,https://cdn.freesound.org/previews/260/260726_1571715-hq.mp3,,low,background_candidate,very_quiet_review,,distant traffic outdoor ambience field-recording -music -loop,,,,1,audio_quality_check|metadata_mentions_birds,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-46.997,44100.0,,0.004405,https://freesound.org/s/260726/,freesound_public_web,,,,ambience|birds|city|construction|field-recording|nature|outdoors|traffic,daenerys,
False,Leaves in wind.WAV by Sandermotions (CC0),,,,0.0,,,,wind_trees,风与树叶,,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,,freesound,ok,2026-07-31T08:57:24.401946+00:00,90.2,,,276294,,,,,,,,,background,freesound_276294,,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\wind_trees\freesound_276294.mp3,,,,Leaves in wind.WAV,3921,-23.262,hq-mp3,5681715006aacd28c0b69006773abbecc3f8728309d8831e887400c12b5f1c57,https://cdn.freesound.org/previews/276/276294_1402315-hq.mp3,,low,background_candidate,very_quiet_review,,wind trees leaves field-recording -music -loop -synthetic,,,,1,audio_quality_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-51.611,96000.0,,0.866962,https://freesound.org/s/276294/,freesound_public_web,,,,field|forest|leaves|recording|tree|wind,Sandermotions,
False,MUDDY AND WET FOOTSTEPS.wav by Alex_hears_things (CC0),,,,0.057802,黑水鸡:0.057802@18.0-21.0,,,people_footsteps,游客与脚步,,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,possible,no_strong_birdnet_evidence,,freesound,ok,2026-07-31T09:06:26.725772+00:00,46.1172,,,376809,,,,,,,,,background_privacy_review,freesound_376809,,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\people_footsteps\freesound_376809.mp3,,,,MUDDY AND WET FOOTSTEPS.wav,5494,-15.836,hq-mp3,5ac20ef5051c76800d3ee8cf3b2c7335a9486e515b848f5aab97c2f48abb4fe3,https://cdn.freesound.org/previews/376/376809_2309965-hq.mp3,,medium,background_privacy_review,usable_level_candidate,,footsteps outdoor field-recording -music -synthetic,,,,1,privacy_and_speech_check|very_low_confidence_target_species_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-44.664,96000.0,,0.099567,https://freesound.org/s/376809/,freesound_public_web,,,,feet|field-recording|foot|footstep|footsteps|grass|hike|hiking|human|mud|nature|outdoor|person|pond|rain|river|shoes|soaked|splodge|squelch|step|steps|storm|swamp|walk|walking|water|wet,Alex_hears_things,
False,Outdoor Footsteps.mp3 by Yin_Yang_Jake007 (CC0),,,,0.0,,,,people_footsteps,游客与脚步,,0.0,[C:\vcpkg\buildtrees\mpg123\src\-66150af195.clean\src\libmpg123\layer3.c:INT123_do_layer3():1880] error: part2_3_length (3904) too large for available bit count (3656) | [C:\vcpkg\buildtrees\mpg123\src\-66150af195.clean\src\libmpg123\layer3.c:INT123_do_layer3():1880] error: part2_3_length (3904) too large for available bit count (3656) | [C:\vcpkg\buildtrees\mpg123\src\-66150af195.clean\src\libmpg123\layer3.c:INT123_do_layer3():1880] error: part2_3_length (3680) too large for available bit count (3656) | [C:\vcpkg\buildtrees\mpg123\src\-66150af195.clean\src\libmpg123\layer3.c:INT123_do_layer3():1880] error: part2_3_length (3840) too large for available bit count (3656),Public HTML fallback; metadata must be rechecked before publication.,True,possible,no_strong_birdnet_evidence,,freesound,decoded_with_codec_warning,2026-07-31T09:06:57.384245+00:00,7.60376,,,415204,,,,,,,,,background_privacy_review,freesound_415204,,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\people_footsteps\freesound_415204.mp3,,,,Outdoor Footsteps.mp3,103,-0.425,hq-mp3,7c69baa40d5d7fe1b493eda2b1f225e0dbf82f3bd51afc9f4209af6b9e97ef7f,https://cdn.freesound.org/previews/415/415204_7919598-hq.mp3,,medium,background_privacy_review,usable_level_candidate,,footsteps outdoor field-recording -music -synthetic,,,,1,privacy_and_speech_check|codec_integrity_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-29.83,22050.0,,0.077922,https://freesound.org/s/415204/,freesound_public_web,,,,Crunching|Feet|Field-Recording|Footsteps|Gravel|Outdoors|Outside|Path|Shoes|Walking,Yin_Yang_Jake007,
False,Footsteps_Snow_09.wav by MarcMatthewsMusic (CC0),,,,0.0,,,,people_footsteps,游客与脚步,,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,possible,no_strong_birdnet_evidence,,freesound,ok,2026-07-31T09:06:44.669065+00:00,23.52,,,420555,,,,,,,,,background_privacy_review,freesound_420555,,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\people_footsteps\freesound_420555.mp3,,,,Footsteps_Snow_09.wav,472,-25.791,hq-mp3,9152bfd8f92a0817250d892ebcc379174d3c80845c805c54dd731f70481f24c4,https://cdn.freesound.org/previews/420/420555_2481779-hq.mp3,,medium,background_privacy_review,very_quiet_review,,footsteps outdoor field-recording -music -synthetic,,,,1,privacy_and_speech_check|audio_quality_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-55.801,48000.0,,0.974576,https://freesound.org/s/420555/,freesound_public_web,,,,feet|field-recording|footsteps|outdoor|snow|walk|walking,MarcMatthewsMusic,
False,walking on dry leaves.wav by troycavas (CC0),,,,0.0,,,,people_footsteps,游客与脚步,,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,possible,no_strong_birdnet_evidence,,freesound,ok,2026-07-31T09:05:52.799620+00:00,31.0668,,,423377,,,,,,,,,background_privacy_review,freesound_423377,,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\people_footsteps\freesound_423377.mp3,,,,walking on dry leaves.wav,808,-1.608,hq-mp3,75d57be02d55e8dcfba69b7dd97ef46a6fe51cc5a748bc8dcd11e568c8a69fd6,https://cdn.freesound.org/previews/423/423377_477218-hq.mp3,,medium,background_privacy_review,usable_level_candidate,,footsteps outdoor field-recording -music -synthetic,,,,1,privacy_and_speech_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-34.771,48000.0,,0.228296,https://freesound.org/s/423377/,freesound_public_web,,,,dry|footsteps|leaves|walking,troycavas,
