recording_id,dataset_kind,period,category_id,species_name_zh,relative_path,captured_at,byte_length,duration_seconds,sample_rate,channels,bit_depth,sha256
challenge_a3b78a0a3f91c1f01553,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_131001.wav,2026-01-16T13:10:01,5760044,60.0,48000,1,16,dbdcad30025c1a8e69aacbda27b3c5d76ce44d9d005ad2fa915311a720b736c3
challenge_780f35f40393a5227a75,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_131505.wav,2026-01-16T13:15:05,5760044,60.0,48000,1,16,45ce491cb438e96996179425830f27129072a45d805f37951ddb0daff589508e
challenge_d8dbfdd0d46cfd46128a,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_132004.wav,2026-01-16T13:20:04,5760044,60.0,48000,1,16,4a231d4f9838d380898f25eafd0df2858ad76547c3a20aa501fc790e51104726
challenge_2e5a195273accd02310e,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_132503.wav,2026-01-16T13:25:03,5760044,60.0,48000,1,16,4d79322b1f07aad159bece34cf514c502de78dcf4839e15fdcd2bf85afcad49f
challenge_1264c4b81e2ca0e7bb09,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_133002.wav,2026-01-16T13:30:02,5760044,60.0,48000,1,16,72b83e6dd25e6a3579f52dcbd071f6ced8fbbfed39fed6d84c49a91fcbf09fcb
challenge_6dbf8039a32403723040,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_133505.wav,2026-01-16T13:35:05,5760044,60.0,48000,1,16,bea9ac067b835cbb505704db1e395ec103d63a7cb70832a033287988fb6cbf2a
challenge_b2c7ea91f1ba67a66c35,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_134004.wav,2026-01-16T13:40:04,5760044,60.0,48000,1,16,54fd92561e7351f7553adde39460b2c00781caf93f5694658110e28333df1cb7
challenge_61092be4233134b0ec97,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_134503.wav,2026-01-16T13:45:03,5760044,60.0,48000,1,16,d22c692f2165f3ed70432f72c4c1f447360ab4155eaf472eca5165043d9d3a30
challenge_8ab99c21f3e894a3a335,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_135002.wav,2026-01-16T13:50:02,5760044,60.0,48000,1,16,ebb4f97975da421ce3b1a32843794615cf4de2f73b51bdb67f2f656436092d68
challenge_cd16ea26a03b586cbf4f,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_135506.wav,2026-01-16T13:55:06,5760044,60.0,48000,1,16,a95ba25a39b0488d2538de65b6b2e265ffe4fc9ac15aaeade3600b988eaa1201
challenge_5ef695662203b79d834a,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_140004.wav,2026-01-16T14:00:04,5760044,60.0,48000,1,16,09f7fd0b44e97fc03f36a0b1fb160b39393e3023d697b796b369d419f5b52147
challenge_dcfd4ea65375e83f3a96,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_140503.wav,2026-01-16T14:05:03,5760044,60.0,48000,1,16,a58b6abfa06352912c380d608ac1709403bcd1f9749d8a73474ec775812985a5
challenge_863213a56fa44cf22a47,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_141002.wav,2026-01-16T14:10:02,5760044,60.0,48000,1,16,89dade7989e960db2af8c23d21e5606353f319e38e26d3d863db3969101d2d21
challenge_ef5c79c8ae571529c353,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_141501.wav,2026-01-16T14:15:01,5760044,60.0,48000,1,16,c551fab3bbf0b3143bfaaa7d7ecba32199d3c73a53fe95fa8efd61b524ff964d
challenge_5d3d9a63e869bfcf642a,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_142005.wav,2026-01-16T14:20:05,5760044,60.0,48000,1,16,cb9b52598591abce8104b6ffd82d0fde867027055b07080c88525239759c1c96
challenge_b15a5a1ce360bdb2533c,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_142503.wav,2026-01-16T14:25:03,5760044,60.0,48000,1,16,34c1abb5e90511b01dacfded4fe6624dfcf638740dbe1aa30882253e6b166e0b
challenge_74ef2a588328ba054990,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_143002.wav,2026-01-16T14:30:02,5760044,60.0,48000,1,16,18c7fa631eb5fd9501b1e462f804db899b30e119e70af6a347813e7905209783
challenge_d055571c296a18a06ffd,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_143501.wav,2026-01-16T14:35:01,5760044,60.0,48000,1,16,63551990a3eebdb6518f61f86c706c4d7e53b1981719927d350217dabc6c040d
challenge_59674d4d030ec336fb9e,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_144005.wav,2026-01-16T14:40:05,5760044,60.0,48000,1,16,b2f01d66b70ddde14f60c803694391b89a30e10ca612534b135d89a0ea74a639
challenge_420559fa3d515b07a52a,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_144504.wav,2026-01-16T14:45:04,5760044,60.0,48000,1,16,3cf60163d966955a471ecf4bf8ee8d777897422045f59a05b18929af31a182a3
challenge_9a1bc53854ea5c99a089,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_145002.wav,2026-01-16T14:50:02,5760044,60.0,48000,1,16,41822361bf3ee3c929d7ac0d7cc9016ec1d65e0aa16af85a5141bed134021f5b
challenge_0043fd54353e9c8cb2f4,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_145501.wav,2026-01-16T14:55:01,5760044,60.0,48000,1,16,2919ad9bdafe2ce45127d28a20934c4b94698ea5c88055562d25ba794aac7e92
challenge_5bc8b3c81886bc37f20d,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_150005.wav,2026-01-16T15:00:05,5760044,60.0,48000,1,16,8c9fd97c02f0c02c8c5c744275fd9a6885b9f2262e7931b10b3172149a5b185e
challenge_b852366e1f1e052b1de9,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_150504.wav,2026-01-16T15:05:04,5760044,60.0,48000,1,16,ef958fdf5178406951ae2ce6c0731e3b968dee9c0bb12d912027967d8f7f3b76
challenge_0abd64a11e388f6a5818,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_151002.wav,2026-01-16T15:10:02,5760044,60.0,48000,1,16,047e29478148bbad49a3352e2710efe6e10881718a8c410ae2a6b9eb1a99a04f
challenge_d2e7ac8334a0ed01ad37,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_151501.wav,2026-01-16T15:15:01,5760044,60.0,48000,1,16,10f0002f898efbae18d9fbeb865bab7174ba9b19f64195bcb20a6aa392e4fcdf
challenge_d56dc1b5fa7ea163e39f,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_152005.wav,2026-01-16T15:20:05,5760044,60.0,48000,1,16,a198f667b3f947562319a94295265a33ad86fa6d68a9bce729850e20556f4e00
challenge_d29898e18c3f7d0375a6,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_152504.wav,2026-01-16T15:25:04,5760044,60.0,48000,1,16,23f49a5aeea02a0ed1e7c14c93102128807299d08713ce06432d6943a22d14b0
challenge_26142344fdf45052cd73,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_153003.wav,2026-01-16T15:30:03,5760044,60.0,48000,1,16,a9a03184cd0122266e17c5f61be99e862e52292bede12a25e78e58f4ef9801c9
challenge_04f40dffa81720aff5ed,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_153502.wav,2026-01-16T15:35:02,5760044,60.0,48000,1,16,2c446929b3d34773127d39d4a6ef1557ebb70cd2127df0f5572a67277e3a14a5
challenge_d56b67984a4662c4d009,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_154005.wav,2026-01-16T15:40:05,5760044,60.0,48000,1,16,284b4a4e7b2d0eb3349f74d5c0fe245c586b3e904b7a9e04c7f29fa6bb188db4
challenge_f722bbca40074f41b897,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_154504.wav,2026-01-16T15:45:04,5760044,60.0,48000,1,16,c92392b84ba26c43782db570987c0921fbdb69d47239b0afead757d324a2f43f
challenge_5c9e0dcbf702dff9081b,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_155003.wav,2026-01-16T15:50:03,5760044,60.0,48000,1,16,ccf90cb3831f2479ae503a0d0ab689bcee636912d9583a5de5a96140088df063
challenge_efd9260de0c49cdefd58,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_155502.wav,2026-01-16T15:55:02,5760044,60.0,48000,1,16,006f31aa1809ed7dcfe0d8926e44d06273f7eb6fe5d7dee5f0f2e17aa9c339b9
challenge_807d7df1ab917317b241,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_160006.wav,2026-01-16T16:00:06,5760044,60.0,48000,1,16,299e5830ac2933189d91fac9ff9df85eb6eba1bbc0db3ce646d37d13675130c6
challenge_136967dc830443ed59a3,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_160505.wav,2026-01-16T16:05:05,5760044,60.0,48000,1,16,68ab3553720b047d443893fa27eac2cf222babb59b19d534a2496e8e25dcb6ff
challenge_22a16506075a1c8546ba,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_161003.wav,2026-01-16T16:10:03,5760044,60.0,48000,1,16,d6e08f80887c9b3318138448155978dfc00af79579597178d540b7daef9261e8
challenge_8b549b7c11adb46211a5,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_161502.wav,2026-01-16T16:15:02,5760044,60.0,48000,1,16,002770177f8190b3619d6abd7995c78c39ae82e5a66fe48ffcc9700fad643c2c
challenge_5d1c2e2873247df7372b,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_162001.wav,2026-01-16T16:20:01,5760044,60.0,48000,1,16,7cb35ae463b396cd11be73eb66f7eb4a0e034a79e216c8b44a9eb4f6b8c86bdd
challenge_f65871195334d965ad97,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_162505.wav,2026-01-16T16:25:05,5760044,60.0,48000,1,16,0e03c0ba08279208da525e1d2e0bdd27d2d5b037df469aa0d4132a5d71b79ba0
challenge_c0f34300b5aa4820d1dc,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_163003.wav,2026-01-16T16:30:03,5760044,60.0,48000,1,16,49735f868a3ca58876ee8fc7c798a500c027761da7bd02099fc213224c7cfbbe
challenge_29b1a96a6c4786eec418,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_163502.wav,2026-01-16T16:35:02,5760044,60.0,48000,1,16,fb455025fc38223aa2183557273fb848ed8b1e355cc204f2c61d57dc25f6170c
challenge_8c8eda870bc454e2b362,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_164001.wav,2026-01-16T16:40:01,5760044,60.0,48000,1,16,a170e780c8c4020c18b40c6e8e3b4eec46fa7890052bf3f265c4676d986c8f1c
challenge_bf2917a97fcc375f54f1,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_164505.wav,2026-01-16T16:45:05,5760044,60.0,48000,1,16,52a20a6a6d8b3ec627da0d17e1036f2db1eba657b0427f5ab1f5926bb09fa8a9
challenge_06d745cdb7728adaf9ca,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_165004.wav,2026-01-16T16:50:04,5760044,60.0,48000,1,16,8cc15a9d67da9c21d03f7bfcca44d040e3184a885df1479b0c6a1696f341cebb
challenge_58e76f0eb800359d41b5,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_172502.wav,2026-01-16T17:25:02,5760044,60.0,48000,1,16,68ed08f83345b3ce9e3de82e608df2d6471b1152035bc9fd6c5325cd341225ce
challenge_98726a9522abf2940c76,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_173001.wav,2026-01-16T17:30:01,5760044,60.0,48000,1,16,0b2b70b7f5dd54377ac43aac0c66ab18e412624fbe53a432098adfb0c6f2c4f3
challenge_c6d8fcf0df1bd9aa91f5,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_173505.wav,2026-01-16T17:35:05,5760044,60.0,48000,1,16,cf3f68b3bdfd66fd33f61f3305ca3290fc67e6d0fd2e6119cded383e7accdc66
challenge_9ee6a8918e65eadeeaf4,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_174003.wav,2026-01-16T17:40:03,5760044,60.0,48000,1,16,640d6db32221498d8811a3e1f45fb875c184b6c63ba97453628e197663db53c6
challenge_05e39949d576aa03a76a,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_174502.wav,2026-01-16T17:45:02,5760044,60.0,48000,1,16,30a55fcf0ea78a9e15f7662369156f781cf6cfc930afe05d045cb66201b93962
challenge_7bc5592a696637a77531,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_175006.wav,2026-01-16T17:50:06,5760044,60.0,48000,1,16,040c4f0dbf67d377136c8c6202e00e481aeca607fe9325e3608a165ed1823c1e
challenge_96300c0d5c35a444794d,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_175504.wav,2026-01-16T17:55:04,5760044,60.0,48000,1,16,1bd5805fa7de6c35f48c2816c0af5b70de5c5aa8af4bec7255b301732ad33896
challenge_b0cce7226d53e2c42b0d,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_180003.wav,2026-01-16T18:00:03,5760044,60.0,48000,1,16,a23ab8b6551365543e1c95c6375062ed50c2c486a6a80f15c276042cdaee42e4
challenge_8a06b8879e5666877614,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_180501.wav,2026-01-16T18:05:01,5760044,60.0,48000,1,16,f10f5c1180547329d4b7f37319d162e381d31276841d698dfad57a62948a38d9
challenge_e1b98ba5841155a75173,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_181005.wav,2026-01-16T18:10:05,5760044,60.0,48000,1,16,1f3fe8ff7942334621a654cb28f01258cdc63cf0b0ea49419b05e1c20fc1858d
challenge_fd5e31fd54d837a55921,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_181503.wav,2026-01-16T18:15:03,5760044,60.0,48000,1,16,bb482e315401d2fbe88170986905d9260a41fa480d4c04154931e94a6afe0407
challenge_4e42d46dacc52b97e2ac,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_182002.wav,2026-01-16T18:20:02,5760044,60.0,48000,1,16,783fb9a5baf2c527671de93f5b3f19a6f61d071718800bc1411f3564a7a02044
challenge_8ef76229397df2c1d889,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_182505.wav,2026-01-16T18:25:05,5760044,60.0,48000,1,16,f49e6c4ee79de7ea793a934eb77c740c1c4566b599e7b4e7e36fe3a0322356e8
challenge_089e820f36f03607010d,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_183004.wav,2026-01-16T18:30:04,5760044,60.0,48000,1,16,f3b81202fde4bd15a6b6fa4bf97ab2ba9f481f5783b7af70be353d0b4eba0bcb
challenge_8ba0bc0b50cb7963bf11,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_183502.wav,2026-01-16T18:35:02,5760044,60.0,48000,1,16,19363e1722a35e6bbb9687897caae764764f74e5f7acc6ac70322e2548c5ca7e
challenge_44fcee7aceb4f7574c8f,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_184001.wav,2026-01-16T18:40:01,5760044,60.0,48000,1,16,ca049f80a10346c8684393743d33326fad1d52a99e8f19a18d9a8380783fdca0
challenge_3fe5934c987cc0e7f903,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_184504.wav,2026-01-16T18:45:04,5760044,60.0,48000,1,16,0d6feb100b8732be28a8eabe6928be976b94527628232143240ce6884a59c48f
challenge_faf94519b6bdb7cdb530,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_185003.wav,2026-01-16T18:50:03,5760044,60.0,48000,1,16,1af6ea8b5c7ce09816a480f50e06c152bf24e3a371b9f36999f4652dcfbc52fe
challenge_50ef96a03bcf619d30ef,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_185502.wav,2026-01-16T18:55:02,5760044,60.0,48000,1,16,85e9ecd634a8bd09278985a072b875fea065827a8b064367f5265c8913e61409
challenge_cdff58c4d26e1aeb3ee0,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_190005.wav,2026-01-16T19:00:05,5760044,60.0,48000,1,16,fbef6b5889131c952457da4bcde238519a1887be57cf4eeff48b5eb05abf28fa
challenge_aa20ed61a4fd002187c1,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_190504.wav,2026-01-16T19:05:04,5760044,60.0,48000,1,16,cd00146064954ff88ea8ad3db8dc5af7132f751ee80af232edc6df5c146428a2
challenge_eda0fd88362c4d3c7a02,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_191002.wav,2026-01-16T19:10:02,5760044,60.0,48000,1,16,67b7f55716d7b239d801f329d5fb425fa83f4b3af48ca92e6277992f45b114f5
challenge_b962f1d3d16a6b80e5a2,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_191501.wav,2026-01-16T19:15:01,5760044,60.0,48000,1,16,755a5425610ff35e84392b74d4bcd205088588611fbd156e28622e5cef70f67f
challenge_869c76a096569898c6e0,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_192004.wav,2026-01-16T19:20:04,5760044,60.0,48000,1,16,d0f360448b3756ee347f4e5573065ac1174be666c5d7432a68bea7e5661f30fc
challenge_87cc5e29a7b0bb8c537c,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_192503.wav,2026-01-16T19:25:03,5760044,60.0,48000,1,16,3b97bbcd5a3f592a0768f37ae7b6de716ff82220fb7fcbcaa893928a93fbd71e
challenge_f9f62064deaaa4d8c7e2,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_193001.wav,2026-01-16T19:30:01,5760044,60.0,48000,1,16,bf266c200f2325499904efd5e4f3808c9b96da991874b68a660cf4a8d8d6885d
challenge_b6cca0a58a0bcb24296c,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_193505.wav,2026-01-16T19:35:05,5760044,60.0,48000,1,16,da15f3044a520d1e3daa8720094391e17a092f786975b9ba25173edfcf999d8a
challenge_399c7e0b13313f4d02dd,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_194003.wav,2026-01-16T19:40:03,5760044,60.0,48000,1,16,cc26e3265efc9d343e36ae0623e7943974e66aea8986ff3b3279e3e049ef1bcb
challenge_d3d5be1d941463dcc74c,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_194502.wav,2026-01-16T19:45:02,5760044,60.0,48000,1,16,ed2c53cbde9c1340776d3f0851adacd42eba8ca4e42155ab3d66d9f60a0712ef
challenge_dfa638a743d45d0889c4,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_195005.wav,2026-01-16T19:50:05,5760044,60.0,48000,1,16,78f18ed59ac8532f4e2c0ac7a8b08bc8b0167f4507760eb33b51bbad084a9961
challenge_5e47bed22dd9d1f9fcea,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_195504.wav,2026-01-16T19:55:04,5760044,60.0,48000,1,16,d755959d50913660a27fe6e5fd434982a929e46131f6afea8c24f46e2c747832
challenge_de67a83fd3ee0af223ec,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_200002.wav,2026-01-16T20:00:02,5760044,60.0,48000,1,16,07e2ba90269c4b44c5c6dd1689e81c97649b8f4a09555b4ac83535c8e5891ee3
challenge_5abbffcafe3312c0d62f,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_200506.wav,2026-01-16T20:05:06,5760044,60.0,48000,1,16,312b69c40c9b7ac8d1955e398b42facd595b3b71befd58e5843f69cbaa94a2b0
challenge_1284f0eb2c23244e717a,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_201004.wav,2026-01-16T20:10:04,5760044,60.0,48000,1,16,2f0737a8fd9887c0e3a050d8e1241af6b11a269c0ede8ecfdfc9321f3ec887f1
challenge_94eadddcffc6d021c2a3,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_201502.wav,2026-01-16T20:15:02,5760044,60.0,48000,1,16,2ecb46ac0da7cc757eb30354065d46efece4d275e7a99e3f37528b290f1e2441
challenge_2a43d2ff0ecc2d9e6143,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_202001.wav,2026-01-16T20:20:01,5760044,60.0,48000,1,16,35798f39b4e1d6113fd195ca3da22545602c54481642623aaf9a2b96d624250c
challenge_3d195b2f76e3e6c26933,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_202504.wav,2026-01-16T20:25:04,5760044,60.0,48000,1,16,42ba518737c54065515d98fae3627f40c0c57118318c8b85d6bc3304f835078b
challenge_b20fb595ae5218b04d57,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_203003.wav,2026-01-16T20:30:03,5760044,60.0,48000,1,16,44a9614e55cdba3b25166853f4cdf8b438e8e993de49ad41ada562c7833f3fdd
challenge_b16cb1516f52512fa4c9,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_203501.wav,2026-01-16T20:35:01,5760044,60.0,48000,1,16,fa72f404a520370f0f919dadec02cfaad703ef016d89d988220c897ee4a2703e
challenge_6addc5b9012732cc1405,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_204004.wav,2026-01-16T20:40:04,5760044,60.0,48000,1,16,b74273a7a22f631cd92cf9be7f1545620892bfb3f00c532db6539499350dee55
challenge_4bb149026c3532d49c9d,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_204503.wav,2026-01-16T20:45:03,5760044,60.0,48000,1,16,cef004280d38c9330971f94911125ed6d04b031c286617ad20b27314b7db56c2
challenge_2904ee8c0af31564795b,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_205001.wav,2026-01-16T20:50:01,5760044,60.0,48000,1,16,b108e5afe579f0c093e8870093544bbf391a040c1ad2b46c84f5c5396ccf851e
challenge_0f5fb00d60cef595dd67,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_205505.wav,2026-01-16T20:55:05,5760044,60.0,48000,1,16,e99e265ad63eb10b454a203b506a102ab140f29c8751b0d14b19c72c5daaeb69
challenge_f0ac4dd35bc6c73b6e27,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_210003.wav,2026-01-16T21:00:03,5760044,60.0,48000,1,16,405c38a604fb052b93bdb0a0b52f0c02f8800cf7a17c28db8cca2361a80edfea
challenge_5198fafaf85006b136a6,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_210502.wav,2026-01-16T21:05:02,5760044,60.0,48000,1,16,a7382123a401f841163c76d3fa3e9fb0887e6c8b9e30853e95a1dcb864b3d8b8
challenge_9fa3072c88246684c03a,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_211005.wav,2026-01-16T21:10:05,5760044,60.0,48000,1,16,0ddad85961616b5f4dc48764e4d82195a453a100bf2bd8f12375d04ba12033c7
challenge_5cead016d9ff296925eb,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_211503.wav,2026-01-16T21:15:03,5760044,60.0,48000,1,16,994cb5aef40d075e37f789b0a1489bec8c79ba59f8c004d1f5082f4a9ed39568
challenge_97cbe2410c93873ff339,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_212002.wav,2026-01-16T21:20:02,5760044,60.0,48000,1,16,c35632ad08b09c5461777b057b439247b42047e8147d80f28513ab32b75974b7
